"REF_DATE","GEO","DGUID","Income concept","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1976","Canada","2016A000011124","After-tax income","Number of persons","Number","223","thousands","3","v107656543","1.3.1","16797","","","","0"
"1977","Canada","2016A000011124","After-tax income","Number of persons","Number","223","thousands","3","v107656543","1.3.1","17153","","","","0"
"1978","Canada","2016A000011124","After-tax income","Number of persons","Number","223","thousands","3","v107656543","1.3.1","17487","","","","0"
"1979","Canada","2016A000011124","After-tax income","Number of persons","Number","223","thousands","3","v107656543","1.3.1","17857","","","","0"
"1980","Canada","2016A000011124","After-tax income","Number of persons","Number","223","thousands","3","v107656543","1.3.1","18235","","","","0"
"1981","Canada","2016A000011124","After-tax income","Number of persons","Number","223","thousands","3","v107656543","1.3.1","18573","","","","0"
"1982","Canada","2016A000011124","After-tax income","Number of persons","Number","223","thousands","3","v107656543","1.3.1","18861","","","","0"
"1983","Canada","2016A000011124","After-tax income","Number of persons","Number","223","thousands","3","v107656543","1.3.1","19107","","","","0"
"1984","Canada","2016A000011124","After-tax income","Number of persons","Number","223","thousands","3","v107656543","1.3.1","19350","","","","0"
"1985","Canada","2016A000011124","After-tax income","Number of persons","Number","223","thousands","3","v107656543","1.3.1","19592","","","","0"
"1986","Canada","2016A000011124","After-tax income","Number of persons","Number","223","thousands","3","v107656543","1.3.1","19851","","","","0"
"1987","Canada","2016A000011124","After-tax income","Number of persons","Number","223","thousands","3","v107656543","1.3.1","20130","","","","0"
"1988","Canada","2016A000011124","After-tax income","Number of persons","Number","223","thousands","3","v107656543","1.3.1","20409","","","","0"
"1989","Canada","2016A000011124","After-tax income","Number of persons","Number","223","thousands","3","v107656543","1.3.1","20701","","","","0"
"1990","Canada","2016A000011124","After-tax income","Number of persons","Number","223","thousands","3","v107656543","1.3.1","21041","","","","0"
"1991","Canada","2016A000011124","After-tax income","Number of persons","Number","223","thousands","3","v107656543","1.3.1","21318","","","","0"
"1992","Canada","2016A000011124","After-tax income","Number of persons","Number","223","thousands","3","v107656543","1.3.1","21608","","","","0"
"1993","Canada","2016A000011124","After-tax income","Number of persons","Number","223","thousands","3","v107656543","1.3.1","21842","A","","","0"
"1994","Canada","2016A000011124","After-tax income","Number of persons","Number","223","thousands","3","v107656543","1.3.1","22140","A","","","0"
"1995","Canada","2016A000011124","After-tax income","Number of persons","Number","223","thousands","3","v107656543","1.3.1","22417","A","","","0"
"1996","Canada","2016A000011124","After-tax income","Number of persons","Number","223","thousands","3","v107656543","1.3.1","22741","A","","","0"
"1997","Canada","2016A000011124","After-tax income","Number of persons","Number","223","thousands","3","v107656543","1.3.1","23007","A","","","0"
"1998","Canada","2016A000011124","After-tax income","Number of persons","Number","223","thousands","3","v107656543","1.3.1","23231","A","","","0"
"1999","Canada","2016A000011124","After-tax income","Number of persons","Number","223","thousands","3","v107656543","1.3.1","23533","A","","","0"
"2000","Canada","2016A000011124","After-tax income","Number of persons","Number","223","thousands","3","v107656543","1.3.1","23892","A","","","0"
"2001","Canada","2016A000011124","After-tax income","Number of persons","Number","223","thousands","3","v107656543","1.3.1","24207","A","","","0"
"2002","Canada","2016A000011124","After-tax income","Number of persons","Number","223","thousands","3","v107656543","1.3.1","24517","A","","","0"
"2003","Canada","2016A000011124","After-tax income","Number of persons","Number","223","thousands","3","v107656543","1.3.1","24848","A","","","0"
"2004","Canada","2016A000011124","After-tax income","Number of persons","Number","223","thousands","3","v107656543","1.3.1","25179","A","","","0"
"2005","Canada","2016A000011124","After-tax income","Number of persons","Number","223","thousands","3","v107656543","1.3.1","25583","A","","","0"
"2006","Canada","2016A000011124","After-tax income","Number of persons","Number","223","thousands","3","v107656543","1.3.1","25822","A","","","0"
"2007","Canada","2016A000011124","After-tax income","Number of persons","Number","223","thousands","3","v107656543","1.3.1","26195","A","","","0"
"2008","Canada","2016A000011124","After-tax income","Number of persons","Number","223","thousands","3","v107656543","1.3.1","26590","A","","","0"
"2009","Canada","2016A000011124","After-tax income","Number of persons","Number","223","thousands","3","v107656543","1.3.1","26941","A","","","0"
"2010","Canada","2016A000011124","After-tax income","Number of persons","Number","223","thousands","3","v107656543","1.3.1","27371","A","","","0"
"2011","Canada","2016A000011124","After-tax income","Number of persons","Number","223","thousands","3","v107656543","1.3.1","27708","A","","","0"
"2012","Canada","2016A000011124","After-tax income","Number of persons","Number","223","thousands","3","v107656543","1.3.1","28050","A","","","0"
"2013","Canada","2016A000011124","After-tax income","Number of persons","Number","223","thousands","3","v107656543","1.3.1","28486","A","","","0"
"2014","Canada","2016A000011124","After-tax income","Number of persons","Number","223","thousands","3","v107656543","1.3.1","28684","A","","","0"
"2015","Canada","2016A000011124","After-tax income","Number of persons","Number","223","thousands","3","v107656543","1.3.1","29052","A","","","0"
"2016","Canada","2016A000011124","After-tax income","Number of persons","Number","223","thousands","3","v107656543","1.3.1","29341","A","","","0"
"2017","Canada","2016A000011124","After-tax income","Number of persons","Number","223","thousands","3","v107656543","1.3.1","29711","A","","","0"
"2018","Canada","2016A000011124","After-tax income","Number of persons","Number","223","thousands","3","v107656543","1.3.1","30046","A","","","0"
"1976","Canada","2016A000011124","After-tax income","Percentage without income","Percent","239","units","0","v107656544","1.3.2","15.7","","","","1"
"1977","Canada","2016A000011124","After-tax income","Percentage without income","Percent","239","units","0","v107656544","1.3.2","15.2","","","","1"
"1978","Canada","2016A000011124","After-tax income","Percentage without income","Percent","239","units","0","v107656544","1.3.2","15.3","","","","1"
"1979","Canada","2016A000011124","After-tax income","Percentage without income","Percent","239","units","0","v107656544","1.3.2","13.8","","","","1"
"1980","Canada","2016A000011124","After-tax income","Percentage without income","Percent","239","units","0","v107656544","1.3.2","12.6","","","","1"
"1981","Canada","2016A000011124","After-tax income","Percentage without income","Percent","239","units","0","v107656544","1.3.2","11.3","","","","1"
"1982","Canada","2016A000011124","After-tax income","Percentage without income","Percent","239","units","0","v107656544","1.3.2","10.9","","","","1"
"1983","Canada","2016A000011124","After-tax income","Percentage without income","Percent","239","units","0","v107656544","1.3.2","10.8","","","","1"
"1984","Canada","2016A000011124","After-tax income","Percentage without income","Percent","239","units","0","v107656544","1.3.2","9.7","","","","1"
"1985","Canada","2016A000011124","After-tax income","Percentage without income","Percent","239","units","0","v107656544","1.3.2","8.9","","","","1"
"1986","Canada","2016A000011124","After-tax income","Percentage without income","Percent","239","units","0","v107656544","1.3.2","8.6","","","","1"
"1987","Canada","2016A000011124","After-tax income","Percentage without income","Percent","239","units","0","v107656544","1.3.2","7.7","","","","1"
"1988","Canada","2016A000011124","After-tax income","Percentage without income","Percent","239","units","0","v107656544","1.3.2","7.1","","","","1"
"1989","Canada","2016A000011124","After-tax income","Percentage without income","Percent","239","units","0","v107656544","1.3.2","6.6","","","","1"
"1990","Canada","2016A000011124","After-tax income","Percentage without income","Percent","239","units","0","v107656544","1.3.2","6.6","","","","1"
"1991","Canada","2016A000011124","After-tax income","Percentage without income","Percent","239","units","0","v107656544","1.3.2","7.3","","","","1"
"1992","Canada","2016A000011124","After-tax income","Percentage without income","Percent","239","units","0","v107656544","1.3.2","7.5","","","","1"
"1993","Canada","2016A000011124","After-tax income","Percentage without income","Percent","239","units","0","v107656544","1.3.2","6.7","A","","","1"
"1994","Canada","2016A000011124","After-tax income","Percentage without income","Percent","239","units","0","v107656544","1.3.2","6.8","A","","","1"
"1995","Canada","2016A000011124","After-tax income","Percentage without income","Percent","239","units","0","v107656544","1.3.2","6.5","A","","","1"
"1996","Canada","2016A000011124","After-tax income","Percentage without income","Percent","239","units","0","v107656544","1.3.2","5.7","A","","","1"
"1997","Canada","2016A000011124","After-tax income","Percentage without income","Percent","239","units","0","v107656544","1.3.2","5.2","A","","","1"
"1998","Canada","2016A000011124","After-tax income","Percentage without income","Percent","239","units","0","v107656544","1.3.2","3.9","B","","","1"
"1999","Canada","2016A000011124","After-tax income","Percentage without income","Percent","239","units","0","v107656544","1.3.2","4.0","B","","","1"
"2000","Canada","2016A000011124","After-tax income","Percentage without income","Percent","239","units","0","v107656544","1.3.2","3.7","B","","","1"
"2001","Canada","2016A000011124","After-tax income","Percentage without income","Percent","239","units","0","v107656544","1.3.2","3.6","B","","","1"
"2002","Canada","2016A000011124","After-tax income","Percentage without income","Percent","239","units","0","v107656544","1.3.2","3.0","B","","","1"
"2003","Canada","2016A000011124","After-tax income","Percentage without income","Percent","239","units","0","v107656544","1.3.2","3.2","B","","","1"
"2004","Canada","2016A000011124","After-tax income","Percentage without income","Percent","239","units","0","v107656544","1.3.2","3.0","B","","","1"
"2005","Canada","2016A000011124","After-tax income","Percentage without income","Percent","239","units","0","v107656544","1.3.2","2.8","B","","","1"
"2006","Canada","2016A000011124","After-tax income","Percentage without income","Percent","239","units","0","v107656544","1.3.2","2.6","C","","","1"
"2007","Canada","2016A000011124","After-tax income","Percentage without income","Percent","239","units","0","v107656544","1.3.2","2.3","C","","","1"
"2008","Canada","2016A000011124","After-tax income","Percentage without income","Percent","239","units","0","v107656544","1.3.2","2.0","C","","","1"
"2009","Canada","2016A000011124","After-tax income","Percentage without income","Percent","239","units","0","v107656544","1.3.2","2.6","C","","","1"
"2010","Canada","2016A000011124","After-tax income","Percentage without income","Percent","239","units","0","v107656544","1.3.2","2.8","C","","","1"
"2011","Canada","2016A000011124","After-tax income","Percentage without income","Percent","239","units","0","v107656544","1.3.2","2.8","C","","","1"
"2012","Canada","2016A000011124","After-tax income","Percentage without income","Percent","239","units","0","v107656544","1.3.2","2.4","C","","","1"
"2013","Canada","2016A000011124","After-tax income","Percentage without income","Percent","239","units","0","v107656544","1.3.2","2.8","C","","","1"
"2014","Canada","2016A000011124","After-tax income","Percentage without income","Percent","239","units","0","v107656544","1.3.2","2.1","C","","","1"
"2015","Canada","2016A000011124","After-tax income","Percentage without income","Percent","239","units","0","v107656544","1.3.2","2.3","C","","","1"
"2016","Canada","2016A000011124","After-tax income","Percentage without income","Percent","239","units","0","v107656544","1.3.2","2.4","C","","","1"
"2017","Canada","2016A000011124","After-tax income","Percentage without income","Percent","239","units","0","v107656544","1.3.2","2.2","B","","","1"
"2018","Canada","2016A000011124","After-tax income","Percentage without income","Percent","239","units","0","v107656544","1.3.2","1.7","C","","","1"
"1976","Canada","2016A000011124","After-tax income","Percentage with income","Percent","239","units","0","v107656545","1.3.3","84.3","","","","1"
"1977","Canada","2016A000011124","After-tax income","Percentage with income","Percent","239","units","0","v107656545","1.3.3","84.8","","","","1"
"1978","Canada","2016A000011124","After-tax income","Percentage with income","Percent","239","units","0","v107656545","1.3.3","84.7","","","","1"
"1979","Canada","2016A000011124","After-tax income","Percentage with income","Percent","239","units","0","v107656545","1.3.3","86.2","","","","1"
"1980","Canada","2016A000011124","After-tax income","Percentage with income","Percent","239","units","0","v107656545","1.3.3","87.4","","","","1"
"1981","Canada","2016A000011124","After-tax income","Percentage with income","Percent","239","units","0","v107656545","1.3.3","88.7","","","","1"
"1982","Canada","2016A000011124","After-tax income","Percentage with income","Percent","239","units","0","v107656545","1.3.3","89.1","","","","1"
"1983","Canada","2016A000011124","After-tax income","Percentage with income","Percent","239","units","0","v107656545","1.3.3","89.2","","","","1"
"1984","Canada","2016A000011124","After-tax income","Percentage with income","Percent","239","units","0","v107656545","1.3.3","90.3","","","","1"
"1985","Canada","2016A000011124","After-tax income","Percentage with income","Percent","239","units","0","v107656545","1.3.3","91.1","","","","1"
"1986","Canada","2016A000011124","After-tax income","Percentage with income","Percent","239","units","0","v107656545","1.3.3","91.4","","","","1"
"1987","Canada","2016A000011124","After-tax income","Percentage with income","Percent","239","units","0","v107656545","1.3.3","92.3","","","","1"
"1988","Canada","2016A000011124","After-tax income","Percentage with income","Percent","239","units","0","v107656545","1.3.3","92.9","","","","1"
"1989","Canada","2016A000011124","After-tax income","Percentage with income","Percent","239","units","0","v107656545","1.3.3","93.4","","","","1"
"1990","Canada","2016A000011124","After-tax income","Percentage with income","Percent","239","units","0","v107656545","1.3.3","93.4","","","","1"
"1991","Canada","2016A000011124","After-tax income","Percentage with income","Percent","239","units","0","v107656545","1.3.3","92.7","","","","1"
"1992","Canada","2016A000011124","After-tax income","Percentage with income","Percent","239","units","0","v107656545","1.3.3","92.5","","","","1"
"1993","Canada","2016A000011124","After-tax income","Percentage with income","Percent","239","units","0","v107656545","1.3.3","93.3","A","","","1"
"1994","Canada","2016A000011124","After-tax income","Percentage with income","Percent","239","units","0","v107656545","1.3.3","93.2","A","","","1"
"1995","Canada","2016A000011124","After-tax income","Percentage with income","Percent","239","units","0","v107656545","1.3.3","93.5","A","","","1"
"1996","Canada","2016A000011124","After-tax income","Percentage with income","Percent","239","units","0","v107656545","1.3.3","94.3","A","","","1"
"1997","Canada","2016A000011124","After-tax income","Percentage with income","Percent","239","units","0","v107656545","1.3.3","94.8","A","","","1"
"1998","Canada","2016A000011124","After-tax income","Percentage with income","Percent","239","units","0","v107656545","1.3.3","96.1","A","","","1"
"1999","Canada","2016A000011124","After-tax income","Percentage with income","Percent","239","units","0","v107656545","1.3.3","96.0","A","","","1"
"2000","Canada","2016A000011124","After-tax income","Percentage with income","Percent","239","units","0","v107656545","1.3.3","96.3","A","","","1"
"2001","Canada","2016A000011124","After-tax income","Percentage with income","Percent","239","units","0","v107656545","1.3.3","96.4","A","","","1"
"2002","Canada","2016A000011124","After-tax income","Percentage with income","Percent","239","units","0","v107656545","1.3.3","97.0","A","","","1"
"2003","Canada","2016A000011124","After-tax income","Percentage with income","Percent","239","units","0","v107656545","1.3.3","96.8","A","","","1"
"2004","Canada","2016A000011124","After-tax income","Percentage with income","Percent","239","units","0","v107656545","1.3.3","97.0","A","","","1"
"2005","Canada","2016A000011124","After-tax income","Percentage with income","Percent","239","units","0","v107656545","1.3.3","97.2","A","","","1"
"2006","Canada","2016A000011124","After-tax income","Percentage with income","Percent","239","units","0","v107656545","1.3.3","97.4","A","","","1"
"2007","Canada","2016A000011124","After-tax income","Percentage with income","Percent","239","units","0","v107656545","1.3.3","97.7","A","","","1"
"2008","Canada","2016A000011124","After-tax income","Percentage with income","Percent","239","units","0","v107656545","1.3.3","98.0","A","","","1"
"2009","Canada","2016A000011124","After-tax income","Percentage with income","Percent","239","units","0","v107656545","1.3.3","97.4","A","","","1"
"2010","Canada","2016A000011124","After-tax income","Percentage with income","Percent","239","units","0","v107656545","1.3.3","97.2","A","","","1"
"2011","Canada","2016A000011124","After-tax income","Percentage with income","Percent","239","units","0","v107656545","1.3.3","97.2","A","","","1"
"2012","Canada","2016A000011124","After-tax income","Percentage with income","Percent","239","units","0","v107656545","1.3.3","97.6","A","","","1"
"2013","Canada","2016A000011124","After-tax income","Percentage with income","Percent","239","units","0","v107656545","1.3.3","97.2","A","","","1"
"2014","Canada","2016A000011124","After-tax income","Percentage with income","Percent","239","units","0","v107656545","1.3.3","97.9","A","","","1"
"2015","Canada","2016A000011124","After-tax income","Percentage with income","Percent","239","units","0","v107656545","1.3.3","97.7","A","","","1"
"2016","Canada","2016A000011124","After-tax income","Percentage with income","Percent","239","units","0","v107656545","1.3.3","97.6","A","","","1"
"2017","Canada","2016A000011124","After-tax income","Percentage with income","Percent","239","units","0","v107656545","1.3.3","97.8","A","","","1"
"2018","Canada","2016A000011124","After-tax income","Percentage with income","Percent","239","units","0","v107656545","1.3.3","98.3","A","","","1"
"1976","Canada","2016A000011124","After-tax income","Percentage under $10,000 (including zeros and losses)","Percent","239","units","0","v107656546","1.3.4","32.2","","","","1"
"1977","Canada","2016A000011124","After-tax income","Percentage under $10,000 (including zeros and losses)","Percent","239","units","0","v107656546","1.3.4","30.9","","","","1"
"1978","Canada","2016A000011124","After-tax income","Percentage under $10,000 (including zeros and losses)","Percent","239","units","0","v107656546","1.3.4","30.6","","","","1"
"1979","Canada","2016A000011124","After-tax income","Percentage under $10,000 (including zeros and losses)","Percent","239","units","0","v107656546","1.3.4","28.7","","","","1"
"1980","Canada","2016A000011124","After-tax income","Percentage under $10,000 (including zeros and losses)","Percent","239","units","0","v107656546","1.3.4","28.0","","","","1"
"1981","Canada","2016A000011124","After-tax income","Percentage under $10,000 (including zeros and losses)","Percent","239","units","0","v107656546","1.3.4","26.5","","","","1"
"1982","Canada","2016A000011124","After-tax income","Percentage under $10,000 (including zeros and losses)","Percent","239","units","0","v107656546","1.3.4","26.7","","","","1"
"1983","Canada","2016A000011124","After-tax income","Percentage under $10,000 (including zeros and losses)","Percent","239","units","0","v107656546","1.3.4","27.5","","","","1"
"1984","Canada","2016A000011124","After-tax income","Percentage under $10,000 (including zeros and losses)","Percent","239","units","0","v107656546","1.3.4","26.0","","","","1"
"1985","Canada","2016A000011124","After-tax income","Percentage under $10,000 (including zeros and losses)","Percent","239","units","0","v107656546","1.3.4","24.7","","","","1"
"1986","Canada","2016A000011124","After-tax income","Percentage under $10,000 (including zeros and losses)","Percent","239","units","0","v107656546","1.3.4","23.7","","","","1"
"1987","Canada","2016A000011124","After-tax income","Percentage under $10,000 (including zeros and losses)","Percent","239","units","0","v107656546","1.3.4","23.2","","","","1"
"1988","Canada","2016A000011124","After-tax income","Percentage under $10,000 (including zeros and losses)","Percent","239","units","0","v107656546","1.3.4","21.1","","","","1"
"1989","Canada","2016A000011124","After-tax income","Percentage under $10,000 (including zeros and losses)","Percent","239","units","0","v107656546","1.3.4","19.5","","","","1"
"1990","Canada","2016A000011124","After-tax income","Percentage under $10,000 (including zeros and losses)","Percent","239","units","0","v107656546","1.3.4","20.6","","","","1"
"1991","Canada","2016A000011124","After-tax income","Percentage under $10,000 (including zeros and losses)","Percent","239","units","0","v107656546","1.3.4","21.9","","","","1"
"1992","Canada","2016A000011124","After-tax income","Percentage under $10,000 (including zeros and losses)","Percent","239","units","0","v107656546","1.3.4","22.2","","","","1"
"1993","Canada","2016A000011124","After-tax income","Percentage under $10,000 (including zeros and losses)","Percent","239","units","0","v107656546","1.3.4","21.8","A","","","1"
"1994","Canada","2016A000011124","After-tax income","Percentage under $10,000 (including zeros and losses)","Percent","239","units","0","v107656546","1.3.4","22.0","A","","","1"
"1995","Canada","2016A000011124","After-tax income","Percentage under $10,000 (including zeros and losses)","Percent","239","units","0","v107656546","1.3.4","22.1","A","","","1"
"1996","Canada","2016A000011124","After-tax income","Percentage under $10,000 (including zeros and losses)","Percent","239","units","0","v107656546","1.3.4","22.4","A","","","1"
"1997","Canada","2016A000011124","After-tax income","Percentage under $10,000 (including zeros and losses)","Percent","239","units","0","v107656546","1.3.4","22.5","A","","","1"
"1998","Canada","2016A000011124","After-tax income","Percentage under $10,000 (including zeros and losses)","Percent","239","units","0","v107656546","1.3.4","20.9","A","","","1"
"1999","Canada","2016A000011124","After-tax income","Percentage under $10,000 (including zeros and losses)","Percent","239","units","0","v107656546","1.3.4","20.3","A","","","1"
"2000","Canada","2016A000011124","After-tax income","Percentage under $10,000 (including zeros and losses)","Percent","239","units","0","v107656546","1.3.4","20.1","A","","","1"
"2001","Canada","2016A000011124","After-tax income","Percentage under $10,000 (including zeros and losses)","Percent","239","units","0","v107656546","1.3.4","18.9","A","","","1"
"2002","Canada","2016A000011124","After-tax income","Percentage under $10,000 (including zeros and losses)","Percent","239","units","0","v107656546","1.3.4","18.7","A","","","1"
"2003","Canada","2016A000011124","After-tax income","Percentage under $10,000 (including zeros and losses)","Percent","239","units","0","v107656546","1.3.4","18.9","A","","","1"
"2004","Canada","2016A000011124","After-tax income","Percentage under $10,000 (including zeros and losses)","Percent","239","units","0","v107656546","1.3.4","18.6","A","","","1"
"2005","Canada","2016A000011124","After-tax income","Percentage under $10,000 (including zeros and losses)","Percent","239","units","0","v107656546","1.3.4","18.3","A","","","1"
"2006","Canada","2016A000011124","After-tax income","Percentage under $10,000 (including zeros and losses)","Percent","239","units","0","v107656546","1.3.4","17.9","A","","","1"
"2007","Canada","2016A000011124","After-tax income","Percentage under $10,000 (including zeros and losses)","Percent","239","units","0","v107656546","1.3.4","17.0","A","","","1"
"2008","Canada","2016A000011124","After-tax income","Percentage under $10,000 (including zeros and losses)","Percent","239","units","0","v107656546","1.3.4","16.8","A","","","1"
"2009","Canada","2016A000011124","After-tax income","Percentage under $10,000 (including zeros and losses)","Percent","239","units","0","v107656546","1.3.4","17.4","A","","","1"
"2010","Canada","2016A000011124","After-tax income","Percentage under $10,000 (including zeros and losses)","Percent","239","units","0","v107656546","1.3.4","17.3","A","","","1"
"2011","Canada","2016A000011124","After-tax income","Percentage under $10,000 (including zeros and losses)","Percent","239","units","0","v107656546","1.3.4","16.8","A","","","1"
"2012","Canada","2016A000011124","After-tax income","Percentage under $10,000 (including zeros and losses)","Percent","239","units","0","v107656546","1.3.4","17.2","A","","","1"
"2013","Canada","2016A000011124","After-tax income","Percentage under $10,000 (including zeros and losses)","Percent","239","units","0","v107656546","1.3.4","17.2","A","","","1"
"2014","Canada","2016A000011124","After-tax income","Percentage under $10,000 (including zeros and losses)","Percent","239","units","0","v107656546","1.3.4","16.4","A","","","1"
"2015","Canada","2016A000011124","After-tax income","Percentage under $10,000 (including zeros and losses)","Percent","239","units","0","v107656546","1.3.4","16.1","A","","","1"
"2016","Canada","2016A000011124","After-tax income","Percentage under $10,000 (including zeros and losses)","Percent","239","units","0","v107656546","1.3.4","15.6","A","","","1"
"2017","Canada","2016A000011124","After-tax income","Percentage under $10,000 (including zeros and losses)","Percent","239","units","0","v107656546","1.3.4","15.0","A","","","1"
"2018","Canada","2016A000011124","After-tax income","Percentage under $10,000 (including zeros and losses)","Percent","239","units","0","v107656546","1.3.4","14.4","A","","","1"
"1976","Canada","2016A000011124","After-tax income","$10,000 to $19,999","Percent","239","units","0","v107656547","1.3.5","15.4","","","","1"
"1977","Canada","2016A000011124","After-tax income","$10,000 to $19,999","Percent","239","units","0","v107656547","1.3.5","15.8","","","","1"
"1978","Canada","2016A000011124","After-tax income","$10,000 to $19,999","Percent","239","units","0","v107656547","1.3.5","15.5","","","","1"
"1979","Canada","2016A000011124","After-tax income","$10,000 to $19,999","Percent","239","units","0","v107656547","1.3.5","17.1","","","","1"
"1980","Canada","2016A000011124","After-tax income","$10,000 to $19,999","Percent","239","units","0","v107656547","1.3.5","17.0","","","","1"
"1981","Canada","2016A000011124","After-tax income","$10,000 to $19,999","Percent","239","units","0","v107656547","1.3.5","17.8","","","","1"
"1982","Canada","2016A000011124","After-tax income","$10,000 to $19,999","Percent","239","units","0","v107656547","1.3.5","18.3","","","","1"
"1983","Canada","2016A000011124","After-tax income","$10,000 to $19,999","Percent","239","units","0","v107656547","1.3.5","19.4","","","","1"
"1984","Canada","2016A000011124","After-tax income","$10,000 to $19,999","Percent","239","units","0","v107656547","1.3.5","19.5","","","","1"
"1985","Canada","2016A000011124","After-tax income","$10,000 to $19,999","Percent","239","units","0","v107656547","1.3.5","19.5","","","","1"
"1986","Canada","2016A000011124","After-tax income","$10,000 to $19,999","Percent","239","units","0","v107656547","1.3.5","19.6","","","","1"
"1987","Canada","2016A000011124","After-tax income","$10,000 to $19,999","Percent","239","units","0","v107656547","1.3.5","19.4","","","","1"
"1988","Canada","2016A000011124","After-tax income","$10,000 to $19,999","Percent","239","units","0","v107656547","1.3.5","19.8","","","","1"
"1989","Canada","2016A000011124","After-tax income","$10,000 to $19,999","Percent","239","units","0","v107656547","1.3.5","19.2","","","","1"
"1990","Canada","2016A000011124","After-tax income","$10,000 to $19,999","Percent","239","units","0","v107656547","1.3.5","20.0","","","","1"
"1991","Canada","2016A000011124","After-tax income","$10,000 to $19,999","Percent","239","units","0","v107656547","1.3.5","20.6","","","","1"
"1992","Canada","2016A000011124","After-tax income","$10,000 to $19,999","Percent","239","units","0","v107656547","1.3.5","20.3","","","","1"
"1993","Canada","2016A000011124","After-tax income","$10,000 to $19,999","Percent","239","units","0","v107656547","1.3.5","20.7","A","","","1"
"1994","Canada","2016A000011124","After-tax income","$10,000 to $19,999","Percent","239","units","0","v107656547","1.3.5","20.5","A","","","1"
"1995","Canada","2016A000011124","After-tax income","$10,000 to $19,999","Percent","239","units","0","v107656547","1.3.5","20.3","A","","","1"
"1996","Canada","2016A000011124","After-tax income","$10,000 to $19,999","Percent","239","units","0","v107656547","1.3.5","20.7","A","","","1"
"1997","Canada","2016A000011124","After-tax income","$10,000 to $19,999","Percent","239","units","0","v107656547","1.3.5","20.5","A","","","1"
"1998","Canada","2016A000011124","After-tax income","$10,000 to $19,999","Percent","239","units","0","v107656547","1.3.5","20.9","A","","","1"
"1999","Canada","2016A000011124","After-tax income","$10,000 to $19,999","Percent","239","units","0","v107656547","1.3.5","19.8","A","","","1"
"2000","Canada","2016A000011124","After-tax income","$10,000 to $19,999","Percent","239","units","0","v107656547","1.3.5","19.6","A","","","1"
"2001","Canada","2016A000011124","After-tax income","$10,000 to $19,999","Percent","239","units","0","v107656547","1.3.5","19.2","A","","","1"
"2002","Canada","2016A000011124","After-tax income","$10,000 to $19,999","Percent","239","units","0","v107656547","1.3.5","19.3","A","","","1"
"2003","Canada","2016A000011124","After-tax income","$10,000 to $19,999","Percent","239","units","0","v107656547","1.3.5","19.1","A","","","1"
"2004","Canada","2016A000011124","After-tax income","$10,000 to $19,999","Percent","239","units","0","v107656547","1.3.5","19.2","A","","","1"
"2005","Canada","2016A000011124","After-tax income","$10,000 to $19,999","Percent","239","units","0","v107656547","1.3.5","18.7","A","","","1"
"2006","Canada","2016A000011124","After-tax income","$10,000 to $19,999","Percent","239","units","0","v107656547","1.3.5","18.4","A","","","1"
"2007","Canada","2016A000011124","After-tax income","$10,000 to $19,999","Percent","239","units","0","v107656547","1.3.5","18.3","A","","","1"
"2008","Canada","2016A000011124","After-tax income","$10,000 to $19,999","Percent","239","units","0","v107656547","1.3.5","18.0","A","","","1"
"2009","Canada","2016A000011124","After-tax income","$10,000 to $19,999","Percent","239","units","0","v107656547","1.3.5","17.4","A","","","1"
"2010","Canada","2016A000011124","After-tax income","$10,000 to $19,999","Percent","239","units","0","v107656547","1.3.5","17.7","A","","","1"
"2011","Canada","2016A000011124","After-tax income","$10,000 to $19,999","Percent","239","units","0","v107656547","1.3.5","17.7","A","","","1"
"2012","Canada","2016A000011124","After-tax income","$10,000 to $19,999","Percent","239","units","0","v107656547","1.3.5","16.6","A","","","1"
"2013","Canada","2016A000011124","After-tax income","$10,000 to $19,999","Percent","239","units","0","v107656547","1.3.5","16.3","A","","","1"
"2014","Canada","2016A000011124","After-tax income","$10,000 to $19,999","Percent","239","units","0","v107656547","1.3.5","16.5","A","","","1"
"2015","Canada","2016A000011124","After-tax income","$10,000 to $19,999","Percent","239","units","0","v107656547","1.3.5","16.6","A","","","1"
"2016","Canada","2016A000011124","After-tax income","$10,000 to $19,999","Percent","239","units","0","v107656547","1.3.5","16.1","A","","","1"
"2017","Canada","2016A000011124","After-tax income","$10,000 to $19,999","Percent","239","units","0","v107656547","1.3.5","15.8","A","","","1"
"2018","Canada","2016A000011124","After-tax income","$10,000 to $19,999","Percent","239","units","0","v107656547","1.3.5","15.4","A","","","1"
"1976","Canada","2016A000011124","After-tax income","$20,000 to $29,999","Percent","239","units","0","v107656548","1.3.6","12.6","","","","1"
"1977","Canada","2016A000011124","After-tax income","$20,000 to $29,999","Percent","239","units","0","v107656548","1.3.6","12.7","","","","1"
"1978","Canada","2016A000011124","After-tax income","$20,000 to $29,999","Percent","239","units","0","v107656548","1.3.6","12.9","","","","1"
"1979","Canada","2016A000011124","After-tax income","$20,000 to $29,999","Percent","239","units","0","v107656548","1.3.6","13.2","","","","1"
"1980","Canada","2016A000011124","After-tax income","$20,000 to $29,999","Percent","239","units","0","v107656548","1.3.6","13.7","","","","1"
"1981","Canada","2016A000011124","After-tax income","$20,000 to $29,999","Percent","239","units","0","v107656548","1.3.6","14.1","","","","1"
